model,precision,recall,f1,roc_auc
LogisticRegression,0.05514705882352941,0.8898305084745762,0.10385756676557864,0.9696250095140624
RandomForest,0.9263157894736842,0.7457627118644068,0.8262910798122066,0.962558813659848
